seed,step,action,did_reuse,cumulative_reuse,mse,improvement,nodes,repo_size,improvement_count,deletion_count,reward,reference_mse,epsilon_threshold
0,0,0,False,0,0.1290356069803238,inf,4,1,1,0,-0.02449965166548888,0.023277750238776207,0.02351052774116397
0,1,0,False,0,0.7279426455497742,0.0,4,1,1,0,-0.17422641130785146,0.023277750238776207,0.02351052774116397
0,2,0,False,0,0.3999766707420349,0.32796597480773926,4,1,1,0,-0.09223491760591666,0.023277750238776207,0.02351052774116397
0,3,1,False,0,0.11883775889873505,0.28113891184329987,3,1,1,0,-0.031853336219986275,0.023277750238776207,0.02351052774116397
0,4,0,False,0,0.041057996451854706,0.07777976244688034,4,1,1,0,-0.0025052490333716078,0.023277750238776207,0.02351052774116397
0,5,0,False,0,0.041679926216602325,0.0,4,1,1,0,-0.0026607314745585127,0.023277750238776207,0.02351052774116397
0,6,0,False,0,0.034905340522527695,0.006774585694074631,4,1,1,0,-0.000967085051039855,0.023277750238776207,0.02351052774116397
0,7,0,False,0,0.08636890351772308,0.0,4,1,1,0,-0.013832975799838703,0.023277750238776207,0.02351052774116397
0,8,1,False,0,0.015071889385581017,0.07129701413214207,3,1,1,0,0.0027352869510650635,0.023277750238776207,0.02351052774116397
0,9,1,False,0,0.07661914825439453,0.0,3,1,1,0,-0.017780466005206108,0.023277750238776207,0.02351052774116397
0,10,0,False,0,0.048184506595134735,0.028434641659259796,4,1,1,0,-0.004286876569191615,0.023277750238776207,0.02351052774116397
0,11,0,False,0,0.0511094406247139,0.0,4,1,1,0,-0.005018110076586406,0.023277750238776207,0.02351052774116397
0,12,1,False,0,0.07300074398517609,0.0,3,1,1,0,-0.01657433124879996,0.023277750238776207,0.02351052774116397
0,13,0,False,0,0.06257148832082748,0.010429255664348602,4,1,1,0,-0.007883622000614803,0.023277750238776207,0.02351052774116397
0,14,0,False,0,0.4318484365940094,0.0,4,1,1,0,-0.10020285906891029,0.023277750238776207,0.02351052774116397
1,0,1,False,0,0.26927757263183594,inf,3,1,1,0,-0.08258657033244768,0.021517861634492874,0.021733040250837804
1,1,1,False,0,0.07841913402080536,0.19085843861103058,3,1,1,0,-0.018967090795437493,0.021517861634492874,0.021733040250837804
1,2,1,False,0,0.1326254904270172,0.0,3,1,1,0,-0.03703587626417478,0.021517861634492874,0.021733040250837804
1,3,1,False,0,0.2677868902683258,0.0,3,1,1,0,-0.08208967621127763,0.021517861634492874,0.021733040250837804
1,4,0,False,0,0.17924122512340546,0.08854566514492035,4,1,1,0,-0.03763768573602041,0.021517861634492874,0.021733040250837804
1,5,1,False,0,0.24397139251232147,0.0,3,1,1,0,-0.0741511769592762,0.021517861634492874,0.021733040250837804
1,6,1,False,0,0.11873827129602432,0.12523312121629715,3,1,1,0,-0.03240680322051048,0.021517861634492874,0.021733040250837804
1,7,0,False,0,0.22297009825706482,0.0,4,1,1,0,-0.04856990401943525,0.021517861634492874,0.021733040250837804
1,8,0,False,0,0.3180232048034668,0.0,4,1,1,0,-0.07233318065603574,0.021517861634492874,0.021733040250837804
1,9,0,False,0,0.16953390836715698,0.14848929643630981,4,1,1,0,-0.03521085654695829,0.021517861634492874,0.021733040250837804
1,10,0,False,0,0.06479059159755707,0.10474331676959991,4,1,1,0,-0.009025027354558308,0.021517861634492874,0.021733040250837804
1,11,1,False,0,0.11276407539844513,0.0,3,1,1,0,-0.03041540458798408,0.021517861634492874,0.021733040250837804
1,12,0,False,0,0.0637480765581131,0.04901599884033203,4,1,1,0,-0.008764398594697315,0.021517861634492874,0.021733040250837804
1,13,0,False,0,0.032713472843170166,0.031034603714942932,4,1,1,0,-0.0010057476659615832,0.021517861634492874,0.021733040250837804
1,14,1,False,0,0.14628025889396667,0.0,3,1,1,0,-0.041587465753157936,0.021517861634492874,0.021733040250837804
2,0,0,False,0,0.371937096118927,inf,4,1,1,0,-0.08024933437506358,0.03820481896400452,0.03858686715364456
2,1,0,False,0,0.26541876792907715,0.10651832818984985,4,1,1,0,-0.05361975232760111,0.03820481896400452,0.03858686715364456
2,2,0,False,0,0.20243413746356964,0.06298463046550751,4,1,1,0,-0.037873594711224236,0.03820481896400452,0.03858686715364456
2,3,1,False,0,0.04041537642478943,0.1620187610387802,3,1,1,0,-0.0007368524869283029,0.03820481896400452,0.03858686715364456
2,4,0,False,0,0.12596233189105988,0.0,4,1,1,0,-0.018755643318096794,0.03820481896400452,0.03858686715364456
2,5,0,False,0,0.02667592093348503,0.09928641095757484,4,1,1,0,0.006065959421296915,0.03820481896400452,0.03858686715364456
2,6,0,False,0,0.08891651779413223,0.0,4,1,1,0,-0.009494189793864885,0.03820481896400452,0.03858686715364456
2,7,1,False,0,0.018273040652275085,0.07064347714185715,3,1,1,0,0.006643926103909811,0.03820481896400452,0.03858686715364456
2,8,1,False,0,0.029616832733154297,0.0,3,1,1,0,0.0028626620769500732,0.03820481896400452,0.03858686715364456
2,9,1,False,0,0.20263734459877014,0.0,3,1,1,0,-0.05481084187825521,0.03820481896400452,0.03858686715364456
2,10,0,False,0,0.10048177093267441,0.10215557366609573,4,1,1,0,-0.01238550307850043,0.03820481896400452,0.03858686715364456
2,11,1,False,0,0.028394877910614014,0.0720868930220604,3,1,1,0,0.003269980351130169,0.03820481896400452,0.03858686715364456
2,12,1,False,0,0.47301435470581055,0.0,3,1,1,0,-0.14493651191393533,0.03820481896400452,0.03858686715364456
2,13,0,False,0,0.1165650263428688,0.35644932836294174,4,1,1,0,-0.016406316931049027,0.03820481896400452,0.03858686715364456
2,14,0,False,0,0.04561536759138107,0.07094965875148773,4,1,1,0,0.0013310977568229045,0.03820481896400452,0.03858686715364456
3,0,0,False,0,0.42415252327919006,inf,4,1,1,0,-0.0939524807035923,0.036256950348615646,0.0366195198521018
3,1,0,False,0,0.03922034800052643,0.38493217527866364,4,1,1,0,0.0022805631160736084,0.036256950348615646,0.0366195198521018
3,2,1,False,0,0.13852253556251526,0.0,3,1,1,0,-0.0340885284046332,0.036256950348615646,0.0366195198521018
3,3,0,False,0,0.023944847285747528,0.11457768827676773,4,1,1,0,0.0060994382947683334,0.036256950348615646,0.0366195198521018
3,4,1,False,0,0.18777620792388916,0.0,3,1,1,0,-0.05050641919175784,0.036256950348615646,0.0366195198521018
3,5,1,False,0,0.04492426663637161,0.14285194128751755,3,1,1,0,-0.0028891054292519893,0.036256950348615646,0.0366195198521018
3,6,0,False,0,0.04490254819393158,2.171844244003296e-05,4,1,1,0,0.0008600130677223206,0.036256950348615646,0.0366195198521018
3,7,0,False,0,0.045199159532785416,0.0,4,1,1,0,0.0007858602330088615,0.036256950348615646,0.0366195198521018
3,8,1,False,0,0.1702650487422943,0.0,3,1,1,0,-0.04466936613122622,0.036256950348615646,0.0366195198521018
3,9,0,False,0,0.02026996947824955,0.14999507926404476,4,1,1,0,0.007018157746642828,0.036256950348615646,0.0366195198521018
3,10,0,False,0,0.03142940625548363,0.0,4,1,1,0,0.004228298552334309,0.036256950348615646,0.0366195198521018
3,11,1,False,0,0.08429329097270966,0.0,3,1,1,0,-0.01601211354136467,0.036256950348615646,0.0366195198521018
3,12,1,False,0,0.04275943711400032,0.041533853858709335,3,1,1,0,-0.0021674955884615574,0.036256950348615646,0.0366195198521018
3,13,0,False,0,0.1468399465084076,0.0,4,1,1,0,-0.024624336510896683,0.036256950348615646,0.0366195198521018
3,14,0,False,0,0.07392478734254837,0.07291515916585922,4,1,1,0,-0.006395546719431877,0.036256950348615646,0.0366195198521018
4,0,1,False,0,0.07280324399471283,inf,3,1,1,0,-0.014556779836614927,0.02913290448486805,0.02942423352971673
4,1,0,False,0,0.10052254050970078,0.0,4,1,1,0,-0.015419666965802511,0.02913290448486805,0.02942423352971673
4,2,1,False,0,0.020482361316680908,0.08004017919301987,3,1,1,0,0.002883514389395713,0.02913290448486805,0.02942423352971673
4,3,0,False,0,0.5479127764701843,0.0,4,1,1,0,-0.1272672259559234,0.02913290448486805,0.02942423352971673
4,4,1,False,0,0.5356430411338806,0.012269735336303711,3,1,1,0,-0.16883671221633753,0.02913290448486805,0.02942423352971673
4,5,0,False,0,0.020772874355316162,0.5148701667785645,4,1,1,0,0.004517749572793642,0.02913290448486805,0.02942423352971673
4,6,1,False,0,0.09103743731975555,0.0,3,1,1,0,-0.020634844278295837,0.02913290448486805,0.02942423352971673
4,7,0,False,0,0.02009676583111286,0.07094067148864269,4,1,1,0,0.004686776703844467,0.02913290448486805,0.02942423352971673
4,8,1,False,0,0.0024394583888351917,0.01765730744227767,3,1,1,0,0.008897815365344286,0.02913290448486805,0.02942423352971673
4,9,0,False,0,0.1628405749797821,0.0,4,1,1,0,-0.030999175583322845,0.02913290448486805,0.02942423352971673
4,10,1,False,0,0.5664887428283691,0.0,3,1,1,0,-0.17911861278116703,0.02913290448486805,0.02942423352971673
4,11,0,False,0,0.08562643080949783,0.4808623120188713,4,1,1,0,-0.011695639540751776,0.02913290448486805,0.02942423352971673
4,12,1,False,0,0.08687637001276016,0.0,3,1,1,0,-0.019247821842630707,0.02913290448486805,0.02942423352971673
4,13,0,False,0,0.0024309675209224224,0.08444540249183774,4,1,1,0,0.009103226281392077,0.02913290448486805,0.02942423352971673
4,14,1,False,0,0.04812198504805565,0.0,3,1,1,0,-0.0063296935210625325,0.02913290448486805,0.02942423352971673
5,0,1,False,0,0.02341720089316368,inf,3,1,1,0,0.003873961667219798,0.035039085894823074,0.035389476753771305
5,1,1,False,0,0.0337875559926033,0.0,3,1,1,0,0.00041717663407325745,0.035039085894823074,0.035389476753771305
5,2,1,False,0,0.03426716476678848,0.0,3,1,1,0,0.0002573070426781978,0.035039085894823074,0.035389476753771305
5,3,0,False,0,0.002821184229105711,0.03144598053768277,4,1,1,0,0.010974399240997931,0.035039085894823074,0.035389476753771305
5,4,0,False,0,0.17500431835651398,0.0,4,1,1,0,-0.032071384290854134,0.035039085894823074,0.035389476753771305
5,5,0,False,0,0.06850793212652206,0.10649638622999191,4,1,1,0,-0.005447287733356157,0.035039085894823074,0.035389476753771305
5,6,1,False,0,0.015665048733353615,0.05284288339316845,3,1,1,0,0.006458012387156487,0.035039085894823074,0.035389476753771305
5,7,0,False,0,0.02217889204621315,0.0,4,1,1,0,0.006134972286721071,0.035039085894823074,0.035389476753771305
5,8,1,False,0,0.02566262148320675,0.0,3,1,1,0,0.0031254881372054424,0.035039085894823074,0.035389476753771305
5,9,0,False,0,0.017283836379647255,0.008378785103559494,4,1,1,0,0.007358736203362545,0.035039085894823074,0.035389476753771305
5,10,0,False,0,0.0,0.017283836379647255,4,1,1,0,0.011679695298274359,0.035039085894823074,0.035389476753771305
5,11,0,False,0,0.09663180261850357,0.0,4,1,1,0,-0.012478255356351534,0.035039085894823074,0.035389476753771305
5,12,0,False,0,0.04323749616742134,0.05339430645108223,4,1,1,0,0.0008703212564190235,0.035039085894823074,0.035389476753771305
5,13,1,False,0,0.06960777938365936,0.0,3,1,1,0,-0.011522897829612097,0.035039085894823074,0.035389476753771305
5,14,1,False,0,0.0827254056930542,0.0,3,1,1,0,-0.015895439932743706,0.035039085894823074,0.035389476753771305
6,0,1,False,0,0.14465074241161346,inf,3,1,1,0,-0.04009129044910272,0.024376871064305305,0.02462063977494836
6,1,0,False,0,0.2266489565372467,0.0,4,1,1,0,-0.04853661544620991,0.024376871064305305,0.02462063977494836
6,2,0,False,0,0.15630802512168884,0.07034093141555786,4,1,1,0,-0.030951382592320442,0.024376871064305305,0.02462063977494836
6,3,0,False,0,0.09395703673362732,0.06235098838806152,4,1,1,0,-0.015363635495305061,0.024376871064305305,0.02462063977494836
6,4,0,False,0,0.0975419282913208,0.0,4,1,1,0,-0.01625985838472843,0.024376871064305305,0.02462063977494836
6,5,0,False,0,0.14034724235534668,0.0,4,1,1,0,-0.0269611869007349,0.024376871064305305,0.02462063977494836
6,6,1,False,0,0.11909858882427216,0.021248653531074524,3,1,1,0,-0.03157390591998895,0.024376871064305305,0.02462063977494836
6,7,0,False,0,0.10755646228790283,0.011542126536369324,4,1,1,0,-0.01876349188387394,0.024376871064305305,0.02462063977494836
6,8,1,False,0,0.16837255656719208,0.0,3,1,1,0,-0.04799856183429559,0.024376871064305305,0.02462063977494836
6,9,0,False,0,0.1764635145664215,0.0,4,1,1,0,-0.03599025495350361,0.024376871064305305,0.02462063977494836
